年份,水资源可持续发展指数,生态系统可持续发展指数,社会经济可持续发展指数,流域综合可持续发展指数
2012,6.31373638,7.42015306,20.05659827,33.79048771
2013,10.92283385,10.38745873,27.18311325,48.49340582
2014,14.59287731,10.65237923,30.13143005,55.3766866
2015,12.39230446,10.86858464,27.56663544,50.82752455
2016,12.53748124,11.0852449,29.31520174,52.93792788
2017,15.49717778,11.3120668,29.73426545,56.54351003
2018,10.85803113,11.52405733,26.11716195,48.49925042
2019,12.10145129,11.73556104,27.02272112,50.85973346
2020,14.85279605,11.95439688,28.47604504,55.28323797
2021,14.50294623,12.17125811,28.6623389,55.33654324
2022,9.980681,12.3858316,25.61871957,47.98523217
2023,14.08060723,12.59602502,26.5364576,53.21308986
2024,14.01013307,12.80990542,25.89261004,52.71264853
2025,12.99658005,13.02049634,26.20363883,52.22071522
2026,12.93452261,13.23860732,25.54135043,51.71448036
2027,14.67490966,13.45217471,25.79526651,53.92235088
2028,12.385229,13.66094281,23.90160401,49.94777582
2029,15.44828503,13.87593584,25.17866709,54.50288796
2030,18.07513322,14.0907631,27.97033338,60.1362297
2031,18.92093182,14.3075369,27.09220418,60.3206729
2032,16.72560726,14.51992304,27.3602021,58.60573241
2033,18.01968344,14.73396338,26.88947353,59.64312036
2034,14.99353161,14.94884414,26.34946262,56.29183838
2035,20.58615305,15.16544578,28.23371123,63.98531006
2036,21.46118853,15.38012732,27.66995322,64.51126906
2037,20.91779111,15.59467124,28.04010561,64.55256797
2038,21.80302235,15.81415029,28.41232044,66.02949308
2039,17.57156679,16.03283063,26.57075352,60.17515094
2040,19.82265111,16.2506179,27.64537125,63.71864027
2041,20.65344891,16.47241133,26.4666498,63.59251004
2042,18.34483598,16.69233861,27.61227948,62.64945407
2043,18.20707687,16.91659706,27.88727164,63.01094557
2044,20.67837376,17.14597685,28.9751345,66.79948511
2045,22.58115047,17.36991896,29.59718687,69.5482563
2046,20.86803958,17.59883556,29.0489791,67.51585424
2047,21.9524652,17.83264343,29.83636497,69.6214736
2048,21.17445617,18.06801327,30.19412696,69.43659641
2049,22.00224058,18.30352546,30.65499345,70.96075949
2050,19.3701733,18.54506692,29.61184379,67.52708401
