年份,水资源可持续发展等级,生态系统可持续发展等级,社会经济可持续发展等级,流域综合可持续发展等级
2012,2.,1.,1.,1.
2013,2.,2.,2.,2.
2014,2.,2.,2.,2.
2015,2.,2.,2.,2.
2016,2.,2.,2.,2.
2017,2.,2.,2.,2.
2018,2.,2.,2.,2.
2019,2.,2.,2.,2.
2020,2.,2.,2.,2.
2021,2.,2.,2.,2.
2022,2.,1.,2.,2.
2023,2.,2.,2.,2.
2024,2.,2.,2.,2.
2025,2.,2.,2.,2.
2026,2.,2.,2.,2.
2027,2.,2.,2.,2.
2028,2.,2.,2.,1.
2029,2.,2.,2.,2.
2030,3.,3.,3.,2.
2031,3.,3.,3.,2.
2032,3.,3.,3.,2.
2033,3.,3.,3.,2.
2034,2.,2.,3.,2.
2035,3.,3.,3.,2.
2036,3.,3.,3.,2.
2037,3.,3.,3.,2.
2038,3.,3.,3.,2.
2039,3.,3.,3.,2.
2040,3.,3.,3.,2.
2041,3.,3.,3.,2.
2042,3.,3.,3.,2.
2043,3.,3.,3.,2.
2044,3.,3.,3.,2.
2045,3.,3.,3.,2.
2046,3.,3.,3.,2.
2047,3.,3.,3.,2.
2048,3.,3.,3.,2.
2049,3.,3.,3.,2.
2050,3.,3.,3.,2.
